tag,patterns,responses
membantu,"['Bisakah kamu membantuku?', 'tolong beri saya bantuan', 'Bisakah kamu menolong?', 'Apa yang bisa kamu lakukan untuk saya?', 'Saya butuh dukungan', 'saya butuh bantuan', 'Tolong dukung saya']","['Tentu.Beri tahu saya bagaimana saya bisa membantu Anda', 'Ceritakan masalah Anda sehingga saya dapat membantu Anda', 'Ya tentu. Apa yang bisa saya bantu?']"
sedih,"['Saya merasa kesepian', 'saya sangat kesepian', 'Saya merasa sedih', 'saya merasa sedih', 'aku sedih', 'Saya merasa sangat kesepian', 'Saya merasa kosong', 'Saya tidak punya siapa pun']","['Saya turut berduka mendengarnya.Aku di sini Untukmu.Membicarakannya mungkin membantu.Jadi, beri tahu saya mengapa menurut Anda Anda merasa seperti ini?', 'Aku di sini Untukmu.Bisakah Anda memberi tahu saya mengapa Anda merasa seperti ini?', 'Menurut Anda mengapa Anda merasa seperti ini?', 'Sudah berapa lama Anda merasa seperti ini?']"
stres,"['Saya sangat stres', 'Saya sangat stres', 'Saya merasa mandek', 'Saya masih merasa stres', 'Saya sangat lelah']","['Menurut Anda apa yang menyebabkan ini?', 'Ambil napas dalam -dalam dan kumpulkan pikiran Anda.Berjalan -jalanlah jika memungkinkan.Tetap terhidrasi', 'Beri diri Anda istirahat.Mudah diri sendiri.', 'Saya menyesal mendengar bahwa. apa alasan dibalik ini?']"
tidak berguna,"['Saya merasa sangat tidak berharga.', 'Tidak ada yang menyukaiku.', 'Saya tidak bisa melakukan apapun.', 'Saya sangat tidak berguna', 'Tidak ada yang masuk akal lagi']","['Wajar untuk merasakan hal ini.Ceritakan lebih banyak.Apa lagi yang ada di pikiran Anda?', 'Mari kita bahas lebih lanjut mengapa Anda merasa seperti ini.', 'Pertama -tama saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan Anda dan selalu ada seseorang di sana untuk membantu.Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba berubah.', 'Pertama -tama saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan Anda dan selalu ada seseorang di sana untuk membantu.Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba berubah.']"
murung,"['Saya tidak tahan lagi', 'Saya sangat tertekan', 'Saya pikir saya depresi.', 'Saya mengalami depresi']","['Ini membantu untuk membicarakan apa yang terjadi.Anda akan baik -baik saja', 'Bicara padaku.Ceritakan lebih banyak.Ini membantu jika Anda membuka diri untuk orang lain.', 'Terkadang ketika kita mengalami depresi, sulit untuk peduli tentang apa pun.Mungkin sulit untuk melakukan hal yang paling sederhana.Beri diri Anda waktu untuk sembuh.']"
senang,"['Saya merasa senang hari ini.', 'Saya senang.', 'Saya merasa senang.', 'Aku baik-baik saja.', 'ceria', 'Saya baik-baik saja', 'Saya merasa baik -baik saja']","['Senang mendengar.Saya senang Anda merasa seperti ini.', 'Oh begitu. Itu hebat.', 'Apakah sesuatu terjadi yang membuat Anda merasa seperti ini?']"
kasual,"['Oh begitu.', 'Oke', 'Oke', 'Bagus', 'Apa pun', 'K', 'Bagus', 'Ya', 'Ya', 'TIDAK', 'tidak terlalu']","['Mari kita bahas lebih lanjut mengapa Anda merasa seperti ini.', 'Bagaimana perasaan Anda minggu lalu?', 'Aku mendengarkan.Silakan lanjutkan.', 'Ceritakan lebih banyak', 'Dapatkah Anda menguraikan itu?', 'Ayo Lawan Pikiran Anda']"
cemas,"['Saya merasa sangat cemas.', 'Saya sangat cemas karena']","['Jangan keras pada diri sendiri.Apa alasan di balik ini?', 'Bisakah Anda ceritakan lebih banyak tentang perasaan ini?', 'Saya mengerti bahwa itu bisa menakutkan.Ceritakan lebih banyak tentang itu.', 'Jangan biarkan kekhawatiran kecil menjatuhkan Anda.Apa yang lebih buruk yang bisa terjadi?']"
Tidak berbicara,"['Saya tidak ingin membicarakannya.', 'Tidak hanya menjauh.', 'Saya tidak bisa membuat diri saya terbuka.', 'Diam saja']","['Berbicara tentang sesuatu yang sangat membantu.Jika Anda belum siap untuk membuka maka tidak apa -apa.Ketahuilah bahwa saya di sini untuk Anda, setiap kali Anda membutuhkan saya.', 'Aku ingin membantumu.Saya benar-benar.Tetapi agar saya dapat membantu Anda, Anda harus berbicara dengan saya.', 'Saya di sini untuk mendengarkan Anda dan membantu Anda melampiaskan.Jadi tolong bicara dengan saya.', 'Anda dapat berbicara dengan saya tanpa takut penilaian.']"
tidur,"['Saya menderita insomnia', 'Saya menderita insomnia', 'Saya tidak bisa tidur.', 'Saya belum tidur untuk hari -hari terakhir.', 'Sepertinya saya tidak bisa tidur.', 'Saya belum tidur nyenyak selama beberapa hari terakhir.']","['Menurut Anda apa alasan di balik ini?', 'Itu tampak mengerikan.Menurut Anda apa yang ada di balik ini?']"
takut,"['saya ketakutan', 'Kedengarannya mengerikan.Apa yang saya lakukan?', 'Tidak, saya tidak ingin merasakan hal ini', 'Saya takut untuk diri saya sendiri']","['Wajar untuk merasakan hal ini.Aku di sini Untukmu.', 'Semuanya akan baik -baik saja.Perasaan ini hanya sesaat.', 'Saya mengerti bagaimana perasaan anda.Jangan turun sendiri karena itu.']"
kematian,"['Ibuku meninggal', 'Saudaraku meninggal', 'Ayah saya meninggal', 'Kakak saya meninggal', 'Seseorang di keluarga saya meninggal', 'Teman saya meninggal']","['Saya turut berduka mendengarnya.Jika Anda ingin membicarakannya.Aku disini.', 'Saya sangat menyesal mendengarnya.Saya di sini untuk membantu Anda dengan kesedihan, kecemasan dan hal lain yang mungkin Anda rasakan saat ini.', 'Belasungkawa.Saya di sini jika Anda perlu bicara.']"
memahami,"['Anda tidak mengerti saya.', 'Anda hanya beberapa robot.Bagaimana kamu tahu?', 'Anda tidak mungkin tahu apa yang saya alami', 'Anda tidak berguna', 'Anda tidak dapat membantu saya', 'Tak ada yang mengerti diriku.']","['Sepertinya saya tidak terlalu membantu sekarang.', 'Saya turut berduka mendengarnya.Saya melakukan yang terbaik untuk membantu', 'Saya mencoba yang terbaik untuk membantu Anda.Jadi tolong bicara dengan saya']"
Selesai,"['Itu saja.', 'Saya tidak punya apa -apa lagi untuk dikatakan', 'Tidak ada lagi', 'Hanya itu yang harus saya katakan', 'Tidak, itu saja']","['Saya mendengar Anda dan mencatat semuanya.Sampai jumpa lagi.', 'Oh oke kita sudah selesai untuk hari ini.Sampai jumpa lagi', 'Semoga harimu menyenangkan.Sampai berjumpa lagi', 'Oke kita sudah selesai.Semoga harimu menyenangkan', 'Oke begitu.Nikmati sisa hari Anda']"
bunuh diri,"['saya ingin bunuh diri', 'Saya sudah berpikir untuk bunuh diri.', 'Saya ingin mati', 'Saya akan bunuh diri', 'Saya akan bunuh diri']",['Saya sangat menyesal mendengarnya tetapi Anda memiliki banyak hal untuk dinantikan.Silakan mencari bantuan dengan menghubungi: 9152987821.']
benci kamu,"['Aku membencimu', 'Aku tidak menyukaimu', 'Saya tidak mempercayai Anda']","['Saya minta maaf jika saya menyinggung Anda.Saya hanya di sini untuk membantu', 'Maafkan saya jika saya melakukan sesuatu untuk menyinggung perasaan Anda.Saya hanya ingin membantu']"
bencilah aku,"['Kamu membenciku', 'Aku tahu kamu membenciku', 'Anda tidak menyukai saya']","['Mengapa menurutmu begitu?', 'Saya minta maaf jika saya telah menunjukkan segala jenis perilaku untuk membuat Anda berpikir seperti itu.']"
bawaan,"['ujian', 'teman-teman', 'hubungan', 'pacar', 'pacar perempuan', 'keluarga', 'uang', 'masalah keuangan']","['Oh begitu.Ceritakan lebih banyak', 'Jadi begitu.Apa lagi?', 'Ceritakan lebih banyak tentang itu.', 'Oh baiklah.Mengapa Anda tidak memberi tahu saya lebih banyak tentang itu?', 'Aku mendengarkan.Ceritakan lebih banyak.']"
candaan,"['Ceritakan lelucon', 'Ceritakan lelucon lain']",['Kesehatan mental bukan lelucon.']
mengulang,"['Anda sudah memberitahuku itu', 'Anda sudah menyebutkan itu', 'Mengapa Anda mengulangi diri sendiri?']",['Oh maaf saya tidak menyadarinya.Saya akan mencoba untuk tidak mengulangi diri saya lagi.']
salah,"['Apa yang kamu katakan?', 'Itu tidak masuk akal', 'Respons yang salah', 'Jawaban yang salah']",['Aku sangat menyesal.Mari kita coba lagi']
bodoh,"['Apakah kamu bodoh?', 'Kamu gila', 'Anda bodoh', 'Apakah kamu bodoh?']",['Saya berharap Anda tidak akan mengatakan hal -hal yang menyakitkan.Saya minta maaf jika saya tidak berguna']
Lokasi,"['Kamu ada di mana?', 'Kamu tinggal di mana?', 'Apa lokasi Anda?']","['Duh saya tinggal di komputer Anda', 'Di mana pun', 'Di suatu tempat di alam semesta']"
sesuatu-else,"['Saya ingin membicarakan hal lain', 'Mari kita bicara tentang hal lain.', 'Bisakah kita tidak membicarakan hal ini?', 'Saya tidak ingin membicarakan hal ini.']","['Oke pasti.Apa yang ingin Anda bicarakan?', 'Baiklah tidak masalah.Apakah ada sesuatu yang ingin Anda bicarakan?', 'Apakah ada hal lain yang ingin Anda bicarakan?']"
teman-teman,['Saya tidak punya teman'],['Saya turut berduka mendengarnya.Ketahuilah bahwa saya di sini untuk Anda.Membicarakannya mungkin membantu.Menurut Anda mengapa Anda tidak punya teman?']
bertanya,['Bolehkah saya bertanya sesuatu?'],"['Tentu.Saya akan mencoba yang terbaik untuk menjawab Anda', 'Tentu saja.Jangan ragu untuk menanyakan apapun padaku.Saya akan melakukan yang terbaik untuk menjawab Anda']"
masalah,"['Mungkin karena ujian saya semakin dekat.Saya merasa stres karena saya tidak berpikir saya tidak siap dengan cukup baik.', 'Mungkin karena ujian saya']",['Jadi begitu.Sudahkah Anda mengambil pendekatan apa pun untuk tidak merasakan hal ini?']
No-Experporach,"['Saya rasa tidak.Yang bisa saya pikirkan hanyalah ujian saya.', 'tidak terlalu', 'saya rasa tidak']",['Tidak ada masalah.Saya bisa melihat mengapa Anda akan stres tentang itu.Saya dapat menyarankan Anda beberapa tips untuk mengurangi masalah ini.Apakah Anda ingin mempelajari lebih lanjut tentang itu?']
Belajarlah lagi,"['ok tentu saja.Saya ingin mempelajari lebih lanjut tentang itu.', 'Ya, saya ingin mempelajari lebih lanjut tentang itu.', 'Saya ingin mempelajari lebih lanjut tentang itu.']",['Jadi pertama -tama saya akan menyarankan Anda untuk istirahat.Lebih banyak berpikir tentang masalahnya jelas tidak membantu menyelesaikannya.Anda hanya akan membanjiri diri Anda sendiri.']
pengguna-APORE,"['ya kamu benar.Saya pantas istirahat.', 'Ya Anda benar tentang itu']","['Selanjutnya, saya akan menyarankan Anda untuk berlatih meditasi.Meditasi dapat menghasilkan keadaan relaksasi yang mendalam dan pikiran yang tenang.']"
meditasi,"['Hmmm kedengarannya bisa bermanfaat bagi saya.', 'Kedengarannya berguna.']","['Fokuskan semua perhatian Anda pada pernapasan Anda.Berkonsentrasi pada perasaan dan mendengarkan saat Anda menghirup dan menghembuskan napas melalui lubang hidung Anda.Bernafas dalam -dalam dan perlahan.Saat perhatian Anda mengembara, kembalikan dengan lembut fokus Anda ke pernapasan Anda.']"
Meditasi pengguna,"['Saya melakukan apa yang Anda katakan dan saya merasa jauh lebih baik.Terima kasih banyak.', 'Saya merasa lebih baik sekarang']","['Sama-sama.Ingat: Selalu fokus pada apa yang ada dalam kendali Anda.Ketika Anda merasa khawatir, luangkan waktu sebentar untuk memeriksa hal -hal yang Anda kendalikan.Anda tidak dapat mencegah badai datang tetapi Anda dapat mempersiapkannya.Anda tidak dapat mengontrol bagaimana orang lain berperilaku, tetapi Anda dapat mengontrol bagaimana Anda bereaksi.Kenali bahwa kadang -kadang, yang dapat Anda kendalikan hanyalah usaha dan sikap Anda.Saat Anda memasukkan energi ke dalam hal -hal yang dapat Anda kendalikan, Anda akan jauh lebih efektif.']"
Pandora-useful,['Terima kasih banyak lagi.Saya akan terus berlatih meditasi dan fokus pada apa yang dapat saya kendalikan.'],['Saya senang Anda menemukan ini berguna.Apakah ada hal lain yang bisa saya bantu?']
Pengguna-Penasihat,"['Saya ingin beberapa nasihat.', 'Saya butuh nasihat.', 'Saya butuh nasihat tentang sesuatu']","['Tentu.Apa yang saya bisa bantu?', 'Oke, apa yang Anda butuhkan nasihat?']"
belajar-mental-mental,"['Saya ingin belajar tentang kesehatan mental.', 'Saya ingin belajar lebih banyak tentang kesehatan mental.', 'Saya tertarik belajar tentang kesehatan mental.']",['Oh itu sangat bagus.Saya bersedia menjawab apa pun yang saya tahu tentang itu.']
kesehatan mental,"['Ceritakan fakta tentang kesehatan mental', 'Ceritakan fakta lain tentang kesehatan mental']","['Menurut laporan UNICEF, satu dari tujuh orang India berusia antara 15-24 tahun terasa tertekan', '1 dari 5 anak muda (usia 13-18) memiliki atau akan mengembangkan penyakit mental dalam hidup mereka.', 'Depresi adalah penyebab utama kecacatan di seluruh dunia.']"
Fact-1,"['Apa itu kesehatan mental?', 'Tentukan kesehatan mental']","['Kesehatan mental adalah keadaan kesejahteraan di mana individu tersebut menyadari kemampuannya sendiri, dapat mengatasi tekanan kehidupan yang normal, dapat bekerja secara produktif dan bermanfaat, dan mampu memberikan kontribusi kepada komunitasnya', 'Kesehatan mental termasuk kesejahteraan emosional, psikologis, dan sosial kita.Ini memengaruhi cara kita berpikir, merasakan, dan bertindak.Ini juga membantu menentukan bagaimana kita menangani stres, berhubungan dengan orang lain, dan membuat pilihan.']"
Fakta-2,"['Mengapa kesehatan mental penting?', 'Apa pentingnya kesehatan mental?']","['Menjaga kesehatan mental sangat penting untuk menstabilkan perilaku konstruktif, emosi, dan pikiran.Berfokus pada perawatan kesehatan mental dapat meningkatkan produktivitas, meningkatkan citra diri kita, dan meningkatkan hubungan.']"
Fakta-3,"['Apa itu Depresi?', 'Tentukan depresi']","['Gangguan kesehatan mental yang ditandai dengan suasana hati yang tertekan atau kehilangan minat dalam kegiatan, menyebabkan gangguan yang signifikan dalam kehidupan sehari -hari.']"
Fakta-5,"['Bagaimana saya tahu jika saya mengalami depresi?', 'Apakah saya depresi?', 'Apakah saya menderita depresi?', 'Apakah saya sakit mental?']","['Untuk diagnosis depresi, seseorang perlu mengalami suasana hati yang rendah atau kehilangan minat atau kesenangan dalam hidup setidaknya selama 2 minggu.Juga, mereka akan mengalami gejala -gejala berikut: perasaan sedih, putus asa, atau mudah marah hampir setiap hari.']"
Fakta-6,"['Apa itu terapis?', 'Apa yang dilakukan terapis?']","['Terapis adalah penunjukan luas yang mengacu pada para profesional yang dilatih untuk memberikan perawatan dan rehabilitasi.Istilah ini sering diterapkan pada psikolog, tetapi dapat mencakup orang lain yang menyediakan berbagai layanan, termasuk pekerja sosial, konselor, pelatih kehidupan, dan banyak lainnya.']"
Fakta-7,"['Apa itu terapi?', 'Apakah saya membutuhkan terapi?', 'Untuk siapa terapi?']","['Terapi adalah bentuk pengobatan yang bertujuan untuk membantu menyelesaikan masalah mental atau emosional.', 'Terapi adalah bentuk pengobatan yang bertujuan untuk membantu menyelesaikan masalah mental atau emosional.Sangat membantu bagi mereka yang memiliki kondisi kesehatan mental atau bahkan tantangan kehidupan sehari -hari.']"
Fakta-8,['Apa artinya memiliki penyakit mental?'],"['Penyakit mental adalah kondisi kesehatan yang mengganggu pikiran, emosi, hubungan, dan fungsi sehari -hari seseorang.Mereka dikaitkan dengan kesusahan dan berkurangnya kapasitas untuk terlibat dalam kegiatan kehidupan sehari -hari yang biasa.Penyakit mental jatuh di sepanjang rangkaian keparahan: beberapa cukup ringan dan hanya mengganggu beberapa aspek kehidupan, seperti fobia tertentu.Di ujung lain spektrum terletak penyakit mental yang serius, yang mengakibatkan gangguan fungsional utama dan gangguan dengan kehidupan sehari -hari.Ini termasuk gangguan seperti depresi berat, skizofrenia, dan gangguan bipolar, dan mungkin mengharuskan orang tersebut menerima perawatan di rumah sakit.Penting untuk mengetahui bahwa penyakit mental adalah kondisi medis yang tidak ada hubungannya dengan karakter, kecerdasan, atau kemauan seseorang.Sama seperti diabetes adalah kelainan pankreas, penyakit mental adalah kondisi medis karena biologi otak.Demikian pula dengan bagaimana seseorang akan mengobati diabetes dengan obat -obatan dan insulin, penyakit mental dapat diobati dengan kombinasi obat dan dukungan sosial.Perawatan ini sangat efektif, dengan 70-90 persen orang yang menerima pengobatan mengalami pengurangan gejala dan peningkatan kualitas hidup.Dengan perawatan yang tepat, sangat mungkin bagi orang dengan penyakit mental untuk mandiri dan sukses.']"
Fakta-9,['Siapa yang mempengaruhi penyakit mental?'],"['Diperkirakan bahwa penyakit mental mempengaruhi 1 dari 5 orang dewasa di Amerika, dan bahwa 1 dari 24 orang dewasa memiliki penyakit mental yang serius.Penyakit mental tidak membeda -bedakan;Ini dapat mempengaruhi siapa pun, terlepas dari jenis kelamin, usia, pendapatan, status sosial, etnis, agama, orientasi seksual, atau latar belakang.Meskipun penyakit mental dapat mempengaruhi siapa pun, kondisi tertentu mungkin lebih umum pada populasi yang berbeda.Misalnya, gangguan makan cenderung terjadi lebih sering pada wanita, sementara gangguan seperti defisit perhatian/gangguan hiperaktif lebih lazim pada anak -anak.Selain itu, segala usia rentan, tetapi yang muda dan yang tua sangat rentan.Penyakit mental biasanya mengejutkan individu dalam hidup mereka, dengan 75 persen kondisi kesehatan mental berkembang pada usia 24 tahun. Hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit, karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala -gejala gejala darikondisi kesehatan mental.Orang tua dan pengasuh harus menyadari fakta ini, dan memperhatikan perubahan dalam suasana hati anak mereka, kepribadian, kebiasaan pribadi, dan penarikan sosial.Ketika ini terjadi pada anak -anak di bawah 18 tahun, mereka disebut sebagai gangguan emosional yang serius (SED).']"
Fact-10,['Apa yang menyebabkan penyakit mental?'],"['Diperkirakan bahwa penyakit mental mempengaruhi 1 dari 5 orang dewasa di Amerika, dan bahwa 1 dari 24 orang dewasa memiliki penyakit mental yang serius.Penyakit mental tidak membeda -bedakan;Ini dapat mempengaruhi siapa pun, terlepas dari jenis kelamin, usia, pendapatan, status sosial, etnis, agama, orientasi seksual, atau latar belakang.Meskipun penyakit mental dapat mempengaruhi siapa pun, kondisi tertentu mungkin lebih umum pada populasi yang berbeda.Misalnya, gangguan makan cenderung terjadi lebih sering pada wanita, sementara gangguan seperti defisit perhatian/gangguan hiperaktif lebih lazim pada anak -anak.Selain itu, segala usia rentan, tetapi yang muda dan yang tua sangat rentan.Penyakit mental biasanya mengejutkan individu dalam hidup mereka, dengan 75 persen kondisi kesehatan mental berkembang pada usia 24 tahun. Hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit, karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala -gejala gejala darikondisi kesehatan mental.Orang tua dan pengasuh harus menyadari fakta ini, dan memperhatikan perubahan suasana hati, kepribadian, kebiasaan pribadi, dan penarikan sosial anak mereka.Ketika ini terjadi pada anak -anak di bawah 18 tahun, mereka disebut sebagai gangguan emosional yang serius (SED).']"
Fact-11,['Apa saja tanda -tanda peringatan penyakit mental?'],"['Gejala gangguan kesehatan mental bervariasi tergantung pada jenis dan tingkat keparahan kondisi tersebut.Berikut ini adalah daftar gejala umum yang mungkin menunjukkan gangguan kesehatan mental, terutama ketika gejala berganda diekspresikan sekaligus.\n Pada orang dewasa:\n Bingung berpikir\n Kesedihan atau mudah marah yang tahan lama\n Tinggi dan rendah dalam suasana hati\n Ketakutan yang berlebihan, mengkhawatirkan, atau kecemasan\n Penarikan sosial\n Perubahan dramatis dalam kebiasaan makan atau tidur\n Perasaan marah yang kuat\n Delusi atau halusinasi (melihat atau mendengar hal -hal yang tidak benar -benar ada)\n Meningkatkan ketidakmampuan untuk mengatasi masalah dan kegiatan sehari -hari\n Pikiran bunuh diri\n Penolakan masalah yang jelas\n Banyak masalah fisik yang tidak dapat dijelaskan\n Penyalahgunaan narkoba dan/atau alkohol\n \nPada anak yang lebih besar dan pra-remaja:\n Penyalahgunaan narkoba dan/atau alkohol\n Ketidakmampuan untuk mengatasi masalah dan aktivitas sehari -hari\n Perubahan kebiasaan tidur dan/atau makan\n Keluhan Masalah Fisik yang Berlebihan\n Menentang otoritas, melewatkan sekolah, mencuri, atau merusak properti\n Ketakutan yang intens untuk menambah berat badan\n Suasana hati negatif yang tahan lama, seringkali bersama dengan nafsu makan yang buruk dan pikiran mati\n Ledakan kemarahan yang sering\n \nPada anak kecil:\n Perubahan kinerja sekolah\n Nilai yang buruk meskipun ada upaya kuat\n Kekhawatiran atau kecemasan yang berlebihan\n Hiperaktif\n Mimpi buruk yang gigih\n Ketidaktaatan yang terus -menerus dan/atau perilaku agresif\n Tantrum temperamen yang sering terjadi']"
Fact-12,['Bisakah orang dengan penyakit mental pulih?'],"['Ketika penyembuhan dari penyakit mental, identifikasi dan pengobatan dini sangat penting.Berdasarkan sifat penyakit, ada berbagai perawatan efektif yang tersedia.Untuk semua jenis perawatan, penting bahwa orang yang terkena dampak proaktif dan sepenuhnya terlibat dalam proses pemulihan mereka sendiri.Banyak orang dengan penyakit mental yang didiagnosis dan dirawat merespons dengan baik, meskipun beberapa mungkin mengalami kembalinya gejala.Bahkan dalam kasus seperti itu, dengan pemantauan dan pengelolaan gangguan yang cermat, masih sangat mungkin untuk menjalani kehidupan yang terpenuhi dan produktif.']"
Fact-13,['Apa yang harus saya lakukan jika saya mengenal seseorang yang tampaknya memiliki gejala gangguan mental?'],"['Meskipun Pandora tidak dapat menggantikan nasihat profesional, kami mendorong mereka yang memiliki gejala untuk berbicara dengan teman dan anggota keluarga mereka dan mencari nasihat seorang profesional kesehatan mental.Semakin cepat kondisi kesehatan mental diidentifikasi dan dirawat, semakin cepat mereka bisa berada di jalan menuju pemulihan.Jika Anda mengenal seseorang yang mengalami masalah, jangan berasumsi bahwa masalah itu akan sembuh sendiri.Biarkan mereka tahu bahwa Anda peduli pada mereka, dan ada pilihan perawatan yang tersedia yang akan membantu mereka sembuh.Bicaralah dengan seorang profesional atau penasihat kesehatan mental jika Anda pikir teman atau anggota keluarga Anda mengalami gejala kondisi kesehatan mental.Jika orang yang terkasih tahu bahwa Anda mendukung mereka, mereka akan lebih cenderung mencari bantuan.']"
Fact-14,['Bagaimana saya bisa menemukan profesional kesehatan mental untuk diri saya sendiri atau anak saya?'],['Merasa nyaman dengan profesional yang Anda atau anak Anda bekerja sama sangat penting untuk keberhasilan perawatan.Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian.Mulailah dengan mencari penyedia di daerah Anda.']
Fact-15,['Pilihan perawatan apa yang tersedia?'],"['Sama seperti ada berbagai jenis obat untuk penyakit fisik, pilihan perawatan yang berbeda tersedia untuk individu dengan penyakit mental.Perawatan bekerja secara berbeda untuk orang yang berbeda.Penting untuk menemukan apa yang paling cocok untuk Anda atau anak Anda.']"
Fact-16,"['Jika saya terlibat dalam perawatan, apa yang perlu saya ketahui?']","['Karena memulai perawatan adalah langkah besar bagi individu dan keluarga, itu bisa sangat luar biasa.Penting untuk terlibat dan terlibat dalam proses perawatan sebanyak mungkin.Beberapa pertanyaan yang perlu Anda jawab termasuk:\n Apa yang diketahui tentang penyebab penyakit khusus ini?\n Apakah ada diagnosis lain di mana gejala -gejala ini umum?\n Apakah Anda biasanya memasukkan pemeriksaan fisik atau neurologis?\n Apakah ada tes atau ujian tambahan yang akan Anda rekomendasikan pada saat ini?\n Apakah Anda akan menyarankan pendapat independen dari psikiater lain saat ini?\n Program pengobatan apa yang paling membantu dengan diagnosis ini?\n Apakah program ini akan melibatkan layanan oleh spesialis lain?Jika demikian, siapa yang akan bertanggung jawab untuk mengoordinasikan layanan ini?\n Apa yang Anda lihat sebagai peran keluarga dalam program perawatan ini?\n Berapa banyak akses yang akan dimiliki keluarga kepada orang -orang yang menyediakan perawatan?\n Obat apa yang umumnya digunakan dengan diagnosis ini?\n Berapa banyak pengalaman yang Anda miliki dalam memperlakukan individu dengan penyakit ini?\n Apa yang dapat saya lakukan untuk membantu Anda dalam perawatan?']"
Fact-17,['Apa perbedaan antara profesional kesehatan mental?'],"['Ada banyak jenis profesional kesehatan mental.Variasi penyedia dan layanan mereka mungkin membingungkan.Masing -masing memiliki berbagai tingkat pendidikan, pelatihan, dan mungkin memiliki bidang keahlian yang berbeda.Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian.']"
